Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
010-22161,282042449,19580141,26820877,51757248,16564318,2508220,77313864,1363694,6132078,15462682,18004320,13709177,1273197,2990390,141105693,2189949
010-30043,319194546,13917791,27255750,60058408,17907682,3448678,83400589,5619020,7019691,10919438,14337597,15939994,5434888,2981780,151594544,6927793
010-30068,229404631,12236696,19811814,46125963,12625492,8174860,57420069,3555544,6413721,10059477,7590754,15005755,1635516,2560160,157423321,3081871
010-30187,161762488,10333831,14974061,25778211,7836236,1312674,49073902,801617,3200299,7517083,11889770,9222376,657248,1829946,83916663,1190778
010-30227,264152534,12036707,20791196,43587073,12401519,1787883,60863565,2987951,4374542,11698015,16568916,18635300,2858890,2863313,100348396,5393427
010-30281,132252703,11659922,15996579,29673409,8223039,2599690,53860719,5415822,4614791,8756436,12702395,15225567,4763257,3261781,115254433,7315569
010-30292,289872734,10963992,22398132,48444739,14532783,884536,44245566,636302,1962798,10863769,19082619,5951813,835586,3375310,102765123,2674968
010-30300,290300688,10463334,17425198,33958121,10376455,12330907,62512647,3031361,7890781,10025860,9119641,6174077,3050079,2207236,94553278,3103330
010-30385,381600520,15522132,25971450,48515615,15673690,2561612,66552077,3327211,5285780,11005460,20557902,10125712,2775326,4093489,93338438,4193610
010-30387,302774497,16122495,33543035,81225591,21201921,10092645,70143576,4284507,7564786,14471303,23453949,17784131,2196489,2645199,124161240,3933746
020-00020,231445003,12737928,22201207,46485506,13432678,1985099,54866356,5992974,4779369,9606141,12593858,19290385,7693562,3937239,121640072,9622813
020-00033,165108986,14860194,17407268,31605267,9689104,1615755,71537804,4230959,4326145,10292344,16526962,4656922,1395840,3095686,116586362,2544877
020-00036,150491210,8166080,11429504,18143736,5643443,1869718,74561249,1393255,4006124,7947967,7472507,2623410,1991832,1574185,135068407,1945880
020-00042,255436030,13394811,23802114,47427658,14542023,1737614,57241382,8189399,5826433,9460312,16395429,26305949,7472839,4123487,91545913,13942347
020-00051,212524990,13479106,20426264,40682882,12038892,1813957,61554785,3795930,4762315,14166881,10482957,17323147,3353035,3466320,151514896,5622753
020-04138,222755463,14373019,31780291,68727288,18432556,9857268,65701697,6511106,8438773,13062012,11063085,9330635,8755497,3991341,111585264,8184312
020-04139,146329878,10076508,15900745,35002540,9985200,1229653,42066499,1917307,2945578,8304989,11422742,12395348,864829,2935939,111434156,2902007
020-04195,196431005,12220556,16436684,30488267,9500784,1467160,61867180,2466935,3961818,11054022,12817496,5326101,1146616,2757741,97744574,2190841
020-04244,197108382,11052140,13841681,30179895,8709543,5889165,59041819,4052816,6799823,5547647,10985196,11973265,8138544,2316939,117138384,8002920
