""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqd"	"pbQC61"	"pbQC62"	"pbQC63"	"pbQC64"	"pbQC65"	"pbQC66"	"pbQC67"	"pbQC68"	"pbQC69"	"pbQC70"	"pbQC71"	"pbQC72"	"pbQC73"	"pbQC74"	"pbQC75"	"pbQC76"	"pbQC77"	"pbQC78"	"pbQC79"	"pbQC80"	"isotopes"	"adduct"	"pcgroup"
"213"	140.071782061577	140.071668717737	140.071857398862	982.167	973.955	991.59	19	19	26477.009765625	28258.869140625	26473.6875	28065.75	27212.763671875	27645.033203125	28109.046875	26556.19921875	27817.896484375	30035.96875	27355.240234375	27360.162109375	26794.755859375	30317.01953125	26185.18359375	25606.837890625	24340.1796875	27520.013671875	26320.822265625	27489.966796875	""	"[M-H-CO2]- 185.069"	"39"
"214"	140.07187792551	140.071799300782	140.072272663578	1122.215	1107.22	1125.67	16	16	31252.974609375	30261.234375	27783.3125	29014.615234375	28552.494140625	33690.85546875	31116.103515625	30744.857421875	32023.576171875	32822.77734375	33371.9375	30174.939453125	31720.314453125	34104.796875	30350.658203125	28687.009765625	27425.849609375	31039.357421875	30300.130859375	31386.671875	""	"[M-H-CO2]- 185.069"	"131"
"215"	140.071880612436	140.071742958111	140.072220242342	1208.53	1203.58	1211.77	14	14	18769.046875	19014.93359375	19960.779296875	23105.83984375	21645.677734375	22795.806640625	27988.0625	26824.009765625	34567.05078125	33967.796875	33442.12890625	32589.67578125	36436.33203125	40544.73046875	31597.51953125	33989.44140625	36691.84375	33513.2109375	32568.759765625	34665.4296875	""	"[M-H-CO2]- 185.069"	"40"
"216"	140.071751295874	140.071577535939	140.071872891102	1473.4	1468.42	1479.78	15	15	9297.744140625	10683.556640625	10636.8310546875	11837.7646484375	11937.419921875	14199.681640625	15051.7705078125	18461.958984375	16557.318359375	15658.5966796875	17032.701171875	17697.8515625	18652.50390625	17110.486328125	17852.3828125	19010.841796875	16855.3671875	16800.1796875	17836.04296875	18208.865234375	""	"[M-H-CO2]- 185.069"	"62"
"217"	140.071845525262	140.071746280222	140.072298431744	1062.31	1059.58	1066.22	11	11	24841.443359375	21774.17578125	21725.23046875	27508.609375	24442.783203125	23327.44140625	27098.015625	22477.734375	25312.46875	27330.849609375	24339.220703125	28184.060546875	26902.173828125	25150.1328125	22978.9765625	24832.091796875	24358.31640625	24670.3515625	24050.482421875	25802.025390625	""	"[M-H-CO2]- 185.069"	"33"
"218"	141.923759167693	141.923655241557	141.923966397876	137.475	136.774	139.53	13	13	21492.939453125	18176.8203125	17401.2265625	13933.7802734375	12215.1416015625	11473.2734375	10938.5693359375	10118.9287109375	10077.390625	10145.3525390625	10162.2841796875	8131.544921875	9987.0556640625	8948.4150390625	6722.4375	6705.33447265625	6334.4033203125	5149.97705078125	5410.51953125	6004.419921875	""	""	"161"
"219"	141.923832819713	141.92358785842	141.924070386377	1851.45	1845.88	1853.7	13	13	2850.16162109375	2740.52099609375	2550.43286132812	8843.4208984375	7572.77978515625	7175.470703125	7000.02197265625	7733.00048828125	6893.3623046875	6994.513671875	6941.970703125	6509.39697265625	5881.01611328125	5917.30810546875	5234.935546875	5817.1953125	4968.75439453125	3863.88549804688	3945.64599609375	3830.78125	""	""	"157"
"220"	144.975591249952	144.975423899286	144.975660444877	1584.07	1576.69	1589.1	19	19	37115.1796875	41438.0234375	37091.86328125	32094.4609375	30946.98828125	41190.2109375	43234.859375	38216.87890625	39426.359375	39768.203125	42591.6875	40646.96484375	36401.83203125	37291.515625	44404.7265625	46796.234375	40777.234375	37728.203125	35363.57421875	2650.02783203125	""	""	"41"
"221"	145.014508385442	145.014357067299	145.01485803085	1215.8	1209.72	1219.98	18	18	92351.5703125	109616.515625	203558.921875	396461.34375	294584.59375	547356.0625	374828.5	333065.4375	197266.78125	216323.984375	220203.84375	116298.03125	101872.0390625	14128.748046875	74357.3984375	74516.125	88793.9609375	81756.78125	60536.19140625	4381.80908203125	""	"[M+Cl]- 110.045 [M-H]- 146.022"	"25"
"222"	145.014350458309	145.014255783307	145.014602305487	1363.03	1353.27	1372.58	18	18	36486.66796875	36022.0234375	37056.04296875	55496.421875	40204.03515625	49539.24609375	51184.953125	51030.69921875	49403.21875	53416.796875	51096.49609375	43564.5859375	48848.43359375	29166.31640625	42543.82421875	45484.1875	50089.4765625	44110.08984375	36451.15625	17427.494140625	""	""	"282"
"223"	145.014557100621	145.014367511014	145.015099008456	1291.65	1285.58	1295.35	11	11	29524.134765625	25382.109375	28493.5703125	33871.953125	27954.265625	30114.373046875	27310.26171875	26787.2890625	26168.923828125	23913.08203125	27878.505859375	20513.408203125	20863.609375	11945.8154296875	19732.09375	21069.017578125	24079.423828125	23760.68359375	18471.279296875	5938.873046875	""	""	"230"
"224"	145.062332970632	145.062258226698	145.062783610018	1308.125	1301.99	1309.87	10	10	414353	378038.84375	371198	493192.53125	395292.4375	336427.09375	292580.625	291662.21875	311825.28125	290464.6875	350303.9375	292687.84375	328867.21875	313487.53125	333570.5	316160.59375	314877.5	270147.71875	317543.375	297152.71875	""	""	"30"
"225"	145.098358948855	145.098175396478	145.098485715724	1616.175	1589.02	1631.29	20	20	333957.125	272137.03125	242414.890625	285216.5	261167.859375	226883.296875	70760.3515625	151821.15625	135613	27599.6015625	126554.640625	44146.4140625	86988.0234375	86360.3515625	101303.1328125	87898.90625	91383.8359375	12822.37890625	70360.71875	95681.5546875	""	"[M+2Cl]2- 220.262 [M-H+Cl]2- 256.239"	"322"
"226"	146.04621731337	146.046153392722	146.046542163137	1019.67	1014.96	1021.83	20	20	996505.8125	899484.875	850752.75	970971.75	874549.6875	728976.4375	564098.9375	592816.1875	563567.125	541905.5625	538598.5	534248.5625	536273.4375	524867.0625	520666.4375	538297.375	517749.375	466991.21875	538753.5625	473353.9375	""	""	"15"
