""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1134"	794.554492838512	794.55398568549	794.554550326611	558.004	551.854	568.256	4	4	19697.55859375	25120.275390625	28472.689453125	34667.59765625	66691.78125	""	""	"16"
"1135"	794.554318970286	794.553859950657	794.554486905387	384.898	381.688	391.939	3	3	77782.1875	75923.2734375	91100.015625	101717.34375	9307.0849609375	"[87][M]-"	"[M-2H+K]- 757.582"	"112"
"1136"	795.55762906969	795.557497533456	795.571468487462	384.3175	381.688	391.939	4	4	33977.375	34297.8671875	38634.0859375	47988.4453125	4201.7919921875	"[87][M+1]-"	""	"112"
"1137"	796.552705357188	796.552481375548	796.552960199867	382.838	381.688	391.939	3	3	11616.1806640625	11278.1923828125	12277.296875	14309.685546875	1904.06066894531	"[87][M+2]-"	""	"112"
"1138"	799.500677055218	799.500343654529	799.501129252458	549.803	545.702	562.105	3	3	8526.72265625	6875.33642578125	7888.162109375	2179.71044921875	1309.66162109375	""	"[M+Cl]- 764.555"	"87"
"1139"	801.515288854717	801.51462712658	801.515502030825	549.803	547.753	562.105	3	3	26767.2265625	17672.611328125	19686.927734375	7084.333984375	822.446838378906	"[88][M]-"	"[M-2H+K]- 764.555"	"87"
"1140"	802.51675240452	802.515059709755	802.516996384208	547.753	547.752	558.004	3	3	14880.4013671875	10060.1884765625	11422.62109375	3671.04272460938	2056.1474609375	"[88][M+1]-"	""	"87"
"1141"	806.583376727407	806.581341036427	806.584417016765	374.627	373.487	381.688	3	3	6576.62353515625	6174.71435546875	8363.9853515625	8789.587890625	3921.1513671875	""	"[M-H]- 807.598"	"12"
"1142"	810.506711905401	810.506390738216	810.50710262427	326.333	324.282	330.433	3	3	10270.3330078125	17065.61328125	17317.30859375	15476.9521484375	0	"[89][M]-"	"[M+Cl]- 775.542"	"72"
"1143"	810.527030957864	810.526895609623	810.527533460499	590.807	590.806	596.958	3	3	5908.58203125	13595.380859375	18151.873046875	35380.25	1299.26953125	""	""	"126"
"1144"	811.499115283057	811.49876760215	811.500782702496	383.738	378.727	393.989	3	3	4217.5595703125	4841.9150390625	3426.0625	9329.1455078125	11654.5634765625	""	""	"450"
"1145"	811.510452706044	811.510163029916	811.510674585845	326.333	324.282	330.433	3	3	5614.25439453125	9636.3359375	8073.03125	9891.8125	0	"[89][M+1]-"	""	"72"
"1146"	812.522056700776	812.521893193721	812.522212741628	328.383	326.252	332.484	3	3	13980.666015625	19766.390625	19636.83984375	20930.62890625	1105.28723144531	"[89][M+2]-"	""	"72"
"1147"	813.525548062425	813.525259732246	813.526214953848	328.383	326.252	332.484	3	3	6706.44189453125	10239.4521484375	11315.3212890625	9752.509765625	1150.31030273438	"[89][M+3]-"	""	"72"
"1148"	818.554195818909	818.554028835981	818.554775983712	561.079	551.854	568.256	4	4	30724.470703125	46455.265625	46663.8203125	60630.20703125	106502.8515625	""	""	"91"
"1149"	818.554800565258	818.554532431642	818.555055194971	378.727	375.537	385.788	3	3	176700.5	219709.4375	225135.28125	214489.078125	3123.99682617188	"[90][M]-"	"[M-H]- 819.563"	"12"
"1150"	819.557918229107	819.557637234235	819.557985129872	378.727	375.537	385.788	3	3	84823.2421875	106988.2890625	109371.9453125	100692.609375	2084.2236328125	"[90][M+1]-"	""	"12"
"1151"	820.568605499236	820.568168587512	820.568637341774	560.0545	555.953	568.256	4	4	18532.41796875	26021.396484375	31065.1796875	38200.21875	66547.375	""	""	"16"
"1152"	820.568318869445	820.568247470909	820.568613799907	376.677	375.537	383.738	3	3	90840.7109375	97440.8984375	113433.5	113380.7578125	2639.02905273438	"[90][M+2]-"	""	"12"
"1153"	820.568534718445	820.568304650772	820.568815437754	514.949	512.901	525.202	3	3	25744.31640625	37898.7734375	46514.87109375	47722.390625	71390.0703125	""	""	"426"
"1154"	821.572333058853	821.572206299422	821.572537528387	376.677	375.537	383.738	3	3	37218.59375	41155.16015625	46559	47004.3828125	1188.91870117188	"[90][M+3]-"	""	"12"
"1155"	822.575312713577	822.575004158259	822.575700301002	376.677	375.537	383.738	3	3	12180.287109375	13298.07421875	14518.6474609375	14762.0390625	1707.65490722656	"[90][M+4]-"	""	"12"
"1156"	824.723605283326	824.722643041502	824.7237712838	1683.57	1677.41	1696.01	5	5	14476.1640625	16035.814453125	5882.40185546875	14743.0595703125	9466.857421875	""	"[M+Cl+NH3]- 772.744"	"50"
"1157"	836.596598979226	836.596115203226	836.598008908633	760.972	758.923	763.023	3	3	7102.76806640625	3506.14428710938	3904.90356445312	4403.0078125	0	""	"[2M-2H+K]- 399.825"	"86"
"1158"	840.541307291429	840.541204029407	840.542030911633	368.486	367.337	373.487	3	3	10537.474609375	12383.7763671875	11992.54296875	12664.630859375	5177.400390625	""	"[M-2H+Na]- 819.563"	"12"
"1159"	842.554432782919	842.553872193704	842.555012605837	561.0795	555.953	568.256	4	4	38251.13671875	62270.65234375	59800.51953125	83544.6875	175276.625	""	"[M+Cl]- 807.596"	"91"
"1160"	842.555384365501	842.554957482148	842.555687568684	365.287	364.406	371.437	3	3	381904.8125	435396.21875	431083.90625	416465.40625	2522.1064453125	"[91][M]-"	""	"63"
"1161"	842.55459929945	842.554351030601	842.554830438436	507.7745	500.599	519.051	4	4	66999.1875	114648.6328125	105758.71875	116618.890625	213042.265625	""	""	"254"
"1162"	843.558108679909	843.557792428006	843.558461172759	365.287	364.406	371.437	3	3	197449.484375	220225.671875	222841.3125	210109.5625	1127.21923828125	"[91][M+1]-"	""	"63"
