Name,(R)-Lactate,Fumarate,L-Valine,Isoleucine,Isoleucine,Lysine,Glutamate,Glycerone phosphate,Arginine,myo-Inositol,Mannitol,3-Phosho-D-glycerate,D-glucose 6-phosphate,Inosine,N-Acetylneuraminate,AMP
020-52033,105982508,9644290,14592871,8551644,27028182,7134546,41314166,3112865,3912103,6769368,13217299,7704874,6291242,2474866,46148070,3811760
020-66007,117177123,20667189,18678264,9845536,33778297,18620994,71978271,4490342,7716182,8196487,16486374,4421865,6999927,2794808,68314417,8354622
020-66015,314445717,24715760,33624869,21716833,61102136,12810131,78603126,3926222,9236084,19015576,32998526,7893043,5530178,3532816,79552561,3249902
020-66051,28221880,7255301,6589343,3882742,11109767,5264197,55043897,264127,2254918,4424783,6566109,2273409,2184655,1918444,39831874,1266640
020-66055,45330140,11930917,9846078,5795218,16854207,10371307,46952662,2283356,4378714,4472976,18118447,4131235,2013988,2118445,52110320,1960500
020-66072,106106057,9316420,12916333,7865758,24181262,9492284,54953922,4392967,7159494,7897640,8560160,11904447,1775729,1790399,75290246,2826220
020-66082,229175075,19364849,31120352,14831283,59873665,23805926,73298658,8140065,8720155,14271881,24901976,14264021,15837922,4027970,102671693,10355883
020-66094,175480863,17049468,22962320,12915757,41297320,14886119,59330103,1646599,9405187,8791682,26115882,3760089,2315218,2321645,51587595,2304027
020-66100,110117328,13825324,15959921,8108316,28706389,9199757,65095664,11933822,7502726,5908246,5351098,13017157,5501957,2157278,71223039,14557401
020-66113,119282881,11779712,11625557,7121706,19983342,12217605,50868879,3974940,5066280,7232743,8008744,12086380,8210073,2058601,41905566,6560710
020-66115,81543107,11479704,11247713,6412755,18928487,10630372,49962765,4878195,4571601,5694045,11914256,14228569,3828215,2294296,51910895,4280361
020-66122,98748590,17046470,15860140,8433323,25121253,10796881,55224748,8839253,8544612,9454648,10879687,10496904,8938844,2920690,62296423,6416565
020-66127,88757832,14837666,11273571,6383110,18902729,10351186,62977309,4770658,4365332,7954049,12748563,11018378,8458218,2987454,57737654,7754024
020-66136,90935119,11995820,11224118,6728244,20201148,12756001,60799982,5938154,5254446,5940144,15881889,15780674,6206652,1839122,45028467,7212406
020-66160,161074388,19054218,23062655,10944737,46052618,20995417,60815276,2844482,8435748,11645059,25937660,4652077,9631364,2474343,63020459,4132049
020-74015,175269334,27946357,23342829,12922990,43096440,8328602,78919015,2394462,7474928,16297600,24590620,2659876,6123448,3475211,62999386,3465712
020-74061,142817130,17135638,20919092,11263986,34191397,14035302,67959761,7674882,7458915,9824915,13022241,4453470,3521252,1993621,65695408,4412335
020-74073,118940961,15574267,23026903,12600228,43016154,17463478,54407165,8929481,8958791,12222011,23013502,11622922,10256701,2986914,88736910,5898673
020-74123,41589692,9549471,12665599,6482121,22784263,16979218,73899275,5784337,6569369,6535858,6855221,3382956,6492992,3030014,39587517,6268522
